Codice          |Cod.commerciale   |Descrizione                             |Costruttore |Descrizione supplementare
HHALIM_UPS01    |2866226           |UNITA' UPS 24VDC 10A                    |PHOENIX CONT|

HHALIM_UPS02    |2320241           |UNITA UPS 24VDC 40A                     |PHOENIX CONT|COD.QUINT-UPS/24DC/24DC/40 USARE CON HHALIM_UPS03

HHALIM_UPS03    |2320322           |BATTERIA PER UPS VRLA 24VDC 12AH IP20   |PHOENIX CONT|USARE CON HHALIM_UPS02

HHALIM_UPS04    |6EP1931-2FC21     |UNITA UPS 24VDC 40A                     |SIEMENS     |USARE CON HHALIM_UPS05

HHALIM_UPS05    |6EP1935-6MF01     |BATTERIA PER UPS 24VDC 20A 12AH         |SIEMENS     |USARE CON HHALIM_UPS04

HHALIM_UPS06    |614-2453          |BATTERIA AL PIOMBO A CICLO PROFONDO 12V |R.S.        |YUASA YUCEL Y 4-12, 4AH, AGM CONSTRUCTION

HHALIM_UPS07    |G3HT10KHB1S       |UNITA UPS 10KVA 3PH IN/OUT 400VAC       |SCHNEIDER   |45-65HZ

HHALIM_UPS08    |2866239           |UNITA UPS 24VDC 20A                     |PHOENIX CONT|COD.QUINT-DC-UPS/24DC/20

HHAVV0_EA001    |3RW2120-1AA00     |AVVIATORE PROGRESSIVO 1,1KW 230VAC      |SIEMENS     |

HHAVV0_EA002    |6SG6010-1CA11     |AVVIATORE PROGRESSIVO 1,1KW 400VAC      |SIEMENS     |

HHAVV0_EA003    |ATS01N106FT       |AVVIATORE PROGRESSIVO 6A 110/480VAC     |TELEMECANIQU|

HHAVV0_EA004    |LH4 N106LU7       |AVVIATORE PROGRESSIVO 1,1KW 208/240     |TELEMECANIQU|

HHAVV0_EA005    |RSE4003-A         |AVVIATORE PROGRESSIVO 1KW 400V          |GAVAZZI     |

HHAVV0_EA006    |ATS01N112FT       |AVVIATORE PROGRESSIVO 12A 110/480VAC    |TELEMECANIQU|

HHAVV0_EA007    |175G4005          |AVVIATORE PROGRESSIVO 7,5KW 400/480VAC  |DANFOSS     |

HHAZT0_00001    |500-415           |MECC. CEST.  AZIONAMENTO 6UX84TEX240MMM |R.S.        |

HHAZT0_00002    |2098-DSD-010      |AZIONAM.BRUSHLESS 1KW@230V ALIM.100/240V|ALLEN BRADLE|

HHAZT0_00003    |ELMO BAS-5/230    |AZIONAMENTO PER MOTORI BRUSHLESS 230V 5A|SERVOTECNICA|

HHAZT0_00004    |VCA0210AA0AA00    |MAX4/11/20/016/99/1/1/00 CONTROLL.MAX4  |ELAU        |SOST.COD. 13130255-008

HHAZT0_00005    |VPM01D16AP00      |PS4/10/16/230/00 – ALIMENTATORE PS4     |ELAU        |SOST.COD. 13130258

HHAZT0_00006    |VBO02S00          |PD8/10 – SCATOLA DI DERIVAZIONE PD8     |ELAU        |SOST.COD. 13130259-001

HHAZT0_00007    |VW3E700500000     |OM/MAX-4/DEVICE-NET SLAVE–SCH.OPZ.DEVNET|ELAU        |SOST.COD. 51130240

HHAZT0_00009    |MCT               |CARTELLA AZIONAMENTO ETCC2000           |SEPA        |

HHAZT0_00010    |VCA09AAAA0AR00    |CONTROLLER PACDRIVE 99 ASSI PROFIBUS-CAN|ELAU        |SOST.COD. C600/10/1/1/1/00 - 13130262

HHAZT0_00011    |15154409-010      |ADATTATORE CAN-DEVICENET L. 1 METRO     |ELAU        |

HHAZT0_00012    |KT10646           |BATTERIA PER UPS C400/C600/P600         |ELAU        |

HHAZT0_00013    |VCA05AAAA0AA00    |CONTR.PACDRIVE C200/10/1/1/1/00 PROFIBUS|ELAU        |SOST.COD. 13130260

HHAZT0_00014    |VDM01U30AQ00      |MC-4/11/03/400 AZIONAMENTO MC4          |ELAU        |SOST.COD. 13130245

HHAZT0_00015    |VCA07AAAA0AR00    |C400/10/1/1/1/00 AZIONAMENTO PACDRIVE   |ELAU        |SOST.COD. 13130261

HHAZT0_00016    |SDMWA170VB231C0402|AZIONAMENTO PER MOTORI STEP 24-100VAC   |EVER ELETTRO|

HHAZT0_00017    |SDMWA170V2242C0402|AZIONAMENTO PER MOTORI STEP 24-100VAC   |EVER ELETTRO|ATOMIC READY

HHAZT0_00018    |SD/DISS/04        |DISSIPATORE PER AZIONAMENTO             |EVER ELETTRO|PER AZIONAMENTO HHAZT0_00017

HHAZT0_00019    |SDMWA170V2242C    |KIT DI CONNETTORI PER AZIONAMENTO       |EVER ELETTRO|PER AZIONAMENTO HHAZT0_00017

HHAZT0_00020    |VPM02D20AA0       |ALIMENTATORE PS5 220/480V 1-3 FASI      |ELAU        |PER SISTEMA ISH  SOST.COD. 13130265

HHAZT0_00021    |VBO03S00          |BOX DISTRIBUZIONE DB5 1IN/4OUT          |ELAU        |PER SISTEMA ISH SOST.COD. 13130266-001

HHAZT0_00022    |VCA06AAAA0AR00    |C400/A8/1/1/1/00 AZIONAMENTO PACDRIVE   |ELAU        |FINO A 8 ASSI SOST.COD. 13130261-001

